Date,Open,High,Low,Close
11-Oct-16,619.24,642.08,618.5,641.07
10-Oct-16,616.82,621.32,616.2,618.99
9-Oct-16,619.17,619.2,616.61,616.75
8-Oct-16,617.34,619.85,617.34,619.11
7-Oct-16,612.61,617.91,611.82,617.12
6-Oct-16,612.47,613.82,611.47,613.02
5-Oct-16,610.22,613.81,609.62,612.51
4-Oct-16,612.05,612.05,609.48,610.2
3-Oct-16,610.97,612.57,610.46,612.13
2-Oct-16,613.95,614,609.68,610.89
1-Oct-16,609.93,615.24,609.93,613.98
30-Sep-16,605.72,609.74,604.14,609.74
29-Sep-16,605.02,606.82,604.85,605.69
28-Sep-16,606.24,606.59,604.61,604.73
27-Sep-16,608.02,608.25,604.11,606.17
26-Sep-16,600.81,608.14,600.35,608.04
25-Sep-16,602.75,603.38,599.71,600.83
24-Sep-16,602.96,604.58,602.04,602.63
23-Sep-16,596.2,603.21,595.79,602.84
22-Sep-16,597.28,598.49,596.21,596.3
21-Sep-16,603.59,603.59,595.88,597.15
20-Sep-16,609.25,609.52,607.94,608.31
19-Sep-16,609.87,610.93,608.27,609.23
18-Sep-16,606.28,610.16,605.86,609.87
17-Sep-16,607.22,607.86,605.19,605.98
16-Sep-16,607.25,609.26,606.74,606.97
15-Sep-16,610.59,611.09,607.15,607.15
14-Sep-16,608.84,611.95,608.41,610.68
13-Sep-16,608.02,611.19,606.92,609.24
12-Sep-16,607,608.46,605.41,608.24
11-Sep-16,623.42,628.82,600.51,606.72
10-Sep-16,622.93,625.1,622.39,623.51
9-Sep-16,626.35,626.83,620.26,622.86
8-Sep-16,614.63,628.77,613.84,626.32
7-Sep-16,610.57,614.54,608.51,614.54
6-Sep-16,606.51,610.83,605.09,610.44
5-Sep-16,608.99,609.05,602.24,606.59
4-Sep-16,598.59,611.84,596.85,608.63
3-Sep-16,575.55,599.5,574.06,598.21
2-Sep-16,572.41,575.64,570.81,575.54
1-Sep-16,575.55,576.31,571.81,572.3
31-Aug-16,577.59,577.86,573.64,575.47
30-Aug-16,574.11,578.36,574.11,577.5
29-Aug-16,574.07,576.28,573.47,574.11
28-Aug-16,569.83,574.04,569.74,573.91
27-Aug-16,579.45,579.85,568.63,569.95
26-Aug-16,577.75,580.62,576.86,579.65
25-Aug-16,580.18,580.45,575.17,577.76
24-Aug-16,583.41,583.59,579.86,580.18
23-Aug-16,586.77,589.47,581.63,583.41
22-Aug-16,581.31,588.45,580.59,586.75
21-Aug-16,581.94,584.16,580.22,581.31
20-Aug-16,576.08,582.82,575.46,581.7
19-Aug-16,574.34,578.24,574.18,575.63
18-Aug-16,573.71,577.79,573.43,574.32
17-Aug-16,577.76,580.89,571.43,573.22
16-Aug-16,567.24,581.74,566.72,577.44
15-Aug-16,570.49,573.58,563.24,567.24
14-Aug-16,585.59,585.67,564.78,570.47
13-Aug-16,587.36,589.77,584.98,585.59
12-Aug-16,588.8,589.91,583.81,587.56
11-Aug-16,592.12,597.54,589.12,589.12
10-Aug-16,587.65,599.98,586.37,592.1
9-Aug-16,591.04,591.09,584.79,587.8
8-Aug-16,592.74,592.99,588.05,591.05
7-Aug-16,587.77,597.51,586.82,592.69
6-Aug-16,575.03,588.4,569.47,587.78
5-Aug-16,578.28,578.28,569.98,575.04
4-Aug-16,566.33,579.5,565.78,578.29
3-Aug-16,548.66,573.36,541.55,566.36
2-Aug-16,606.4,612.85,531.33,547.47
1-Aug-16,624.6,626.12,605.88,606.27
31-Jul-16,655.1,655.28,624.37,624.68
30-Jul-16,657.01,658.22,654.21,655.05
29-Jul-16,655.11,657.8,654.79,656.99
28-Jul-16,654.49,657.6,654.49,655.03
27-Jul-16,651.63,657.46,648.45,654.35
26-Jul-16,654.23,656.23,645.88,651.78
25-Jul-16,661.26,661.83,653.39,654.1
24-Jul-16,655.41,663.11,652.79,661.28
23-Jul-16,650.73,656.37,648.52,655.56
22-Jul-16,664.92,666.58,646.72,650.62
21-Jul-16,665.23,666.22,660.41,665.01
20-Jul-16,672.81,672.93,663.36,665.68
19-Jul-16,672.74,673.28,667.63,672.86
18-Jul-16,679.81,681.55,668.63,673.11
17-Jul-16,661.99,682.37,661.99,679.46
16-Jul-16,663.78,666.46,659.33,660.77
15-Jul-16,659.17,667.08,659.04,663.25
14-Jul-16,652.92,662.9,652.92,658.08
13-Jul-16,664.8,668.7,654.47,654.47
12-Jul-16,648.28,675.26,646.78,664.55
11-Jul-16,648.48,659.63,644.98,647.66
10-Jul-16,650.6,652.29,641.26,649.36
9-Jul-16,666.38,666.38,633.4,650.96
8-Jul-16,640.69,666.71,636.47,666.52
7-Jul-16,678.09,682.43,611.83,640.56
6-Jul-16,670.42,681.9,670.42,677.33
5-Jul-16,683.21,683.49,665.07,670.63
4-Jul-16,658.8,683.66,650.51,683.66
3-Jul-16,704.97,704.97,649.01,658.66
2-Jul-16,676.73,703.7,676.4,703.7
1-Jul-16,672.51,686.15,669.59,676.3
30-Jun-16,640.59,675.4,636.61,673.34
29-Jun-16,644.12,644.68,628.28,639.89
28-Jun-16,658.1,659.25,637.77,647
27-Jun-16,629.35,655.27,620.52,655.27
26-Jun-16,665.93,665.98,616.93,629.37
25-Jun-16,665.28,691.73,646.56,665.12
24-Jun-16,625.58,681.73,625.27,665.3
23-Jun-16,597.44,629.33,558.14,623.98
22-Jun-16,665.91,678.67,587.48,596.12
21-Jun-16,735.88,735.88,639.07,666.65
20-Jun-16,763.93,764.08,732.73,737.23
19-Jun-16,756.69,766.62,745.63,763.78
18-Jun-16,748.76,777.99,733.93,756.23
17-Jun-16,768.49,775.36,716.56,748.91
16-Jun-16,696.52,773.72,696.52,766.31
15-Jun-16,685.68,696.3,672.56,694.47
14-Jun-16,704.5,704.5,662.8,685.56
13-Jun-16,671.65,716,664.49,704.38
12-Jun-16,609.68,684.84,607.04,672.78
11-Jun-16,578.67,607.12,578.67,606.73
10-Jun-16,575.84,579.13,573.33,577.47
9-Jun-16,582.2,582.2,570.95,574.63
8-Jun-16,577.17,582.84,573.13,581.64
7-Jun-16,585.45,590.26,567.51,576.6
6-Jun-16,574.6,586.47,574.6,585.54
5-Jun-16,573.31,582.81,569.18,574.98
